iter	Passed	Remaining
563	2691	2080
564	2698	2077
565	2702	2072
566	2707	2067
567	2713	2063
568	2718	2058
569	2722	2053
570	2728	2050
571	2733	2045
572	2737	2040
573	2743	2036
574	2748	2031
575	2753	2027
576	2759	2023
577	2764	2018
578	2768	2013
579	2774	2009
580	2781	2006
581	2793	2006
582	2800	2003
583	2808	2000
584	2813	1996
585	2819	1992
586	2825	1988
587	2829	1982
588	2839	1981
589	2843	1976
590	2851	1973
591	2855	1968
592	2859	1962
593	2869	1961
594	2877	1958
595	2883	1954
596	2887	1949
597	2897	1948
598	2902	1942
599	2914	1943
600	2919	1938
601	2929	1937
602	2934	1931
603	2943	1929
604	2947	1924
605	2951	1918
606	2957	1914
607	2962	1909
608	2970	1906
609	2975	1902
610	2979	1896
611	2984	1892
612	2988	1886
613	2996	1883
614	3000	1878
615	3004	1873
616	3013	1870
617	3017	1865
618	3024	1861
619	3028	1856
620	3032	1850
621	3038	1846
622	3043	1841
623	3047	1836
624	3052	1831
625	3058	1827
626	3062	1821
627	3066	1816
628	3072	1812
629	3076	1807
630	3080	1801
631	3085	1796
632	3089	1791
633	3093	1785
634	3097	1780
635	3103	1776
636	3107	1771
637	3112	1765
638	3117	1761
639	3121	1756
640	3125	1750
641	3132	1746
642	3137	1741
643	3141	1736
644	3147	1732
645	3151	1726
646	3155	1721
647	3161	1717
648	3165	1711
649	3169	1706
650	3173	1701
651	3179	1696
652	3183	1691
653	3187	1686
654	3191	1681
655	3195	1675
656	3199	1670
657	3203	1665
658	3207	1659
659	3211	1654
660	3216	1649
661	3221	1644
662	3225	1639
663	3229	1634
664	3233	1629
665	3237	1623
666	3241	1618
667	3248	1614
668	3252	1609
669	3256	1603
670	3263	1599
671	3267	1594
672	3272	1590
673	3278	1585
674	3283	1580
675	3287	1575
676	3292	1570
677	3296	1565
678	3300	1560
679	3304	1555
680	3309	1550
681	3313	1544
682	3317	1539
683	3323	1535
684	3327	1530
685	3331	1524
686	3337	1520
687	3341	1515
688	3344	1509
689	3351	1505
690	3356	1500
691	3360	1495
692	3366	1491
693	3370	1485
694	3374	1480
695	3378	1475
696	3384	1471
697	3388	1466
698	3392	1460
699	3397	1456
700	3401	1450
701	3404	1445
702	3408	1440
703	3415	1435
704	3418	1430
705	3422	1425
706	3427	1420
707	3431	1415
708	3435	1410
709	3439	1404
710	3444	1399
711	3447	1394
712	3451	1389
713	3455	1384
714	3461	1379
715	3465	1374
716	3469	1369
717	3473	1364
718	3476	1358
719	3481	1353
720	3485	1348
721	3489	1343
722	3493	1338
723	3496	1332
724	3500	1327
725	3504	1322
726	3509	1317
727	3513	1312
728	3517	1307
729	3521	1302
730	3525	1297
731	3529	1292
732	3534	1287
733	3538	1282
734	3542	1277
735	3546	1272
736	3550	1267
737	3555	1262
738	3559	1257
739	3565	1252
740	3570	1247
741	3574	1242
742	3580	1238
743	3584	1233
744	3588	1228
745	3593	1223
746	3597	1218
747	3601	1213
748	3605	1208
749	3612	1204
750	3616	1199
751	3620	1194
752	3626	1189
753	3630	1184
754	3634	1179
755	3638	1174
756	3642	1169
757	3645	1164
758	3650	1159
759	3654	1154
760	3658	1149
761	3662	1143
762	3666	1138
763	3671	1134
764	3675	1128
765	3679	1123
766	3683	1118
767	3687	1113
768	3691	1108
769	3696	1104
770	3700	1099
771	3704	1093
772	3708	1088
773	3712	1084
774	3716	1079
775	3720	1073
776	3724	1068
777	3728	1063
778	3732	1058
779	3737	1054
780	3741	1049
781	3745	1044
782	3749	1039
783	3753	1034
784	3757	1029
785	3761	1024
786	3764	1018
787	3768	1013
788	3772	1008
789	3776	1003
790	3780	998
791	3783	993
792	3787	988
793	3792	983
794	3796	978
795	3800	973
796	3803	968
797	3808	964
798	3812	959
799	3816	954
800	3820	949
801	3824	944
802	3828	939
803	3831	934
804	3836	929
805	3840	924
806	3843	919
807	3847	914
808	3852	909
809	3855	904
810	3859	899
811	3863	894
812	3866	889
813	3870	884
814	3873	879
815	3878	874
816	3881	869
817	3885	864
818	3889	859
819	3893	854
820	3897	849
821	3900	844
822	3904	839
823	3908	834
824	3912	829
825	3916	824
826	3920	820
827	3924	815
828	3929	810
829	3933	805
830	3937	800
831	3941	795
832	3945	791
833	3950	786
834	3954	781
835	3958	776
836	3963	771
837	3966	766
838	3971	762
839	3975	757
840	3979	752
841	3983	747
842	3987	742
843	3991	737
844	3996	733
845	4001	728
846	4005	723
847	4009	718
848	4013	713
849	4017	709
850	4021	704
851	4026	699
852	4030	694
853	4034	689
854	4038	684
855	4042	680
856	4046	675
857	4051	670
858	4055	665
859	4060	660
860	4064	656
861	4068	651
862	4072	646
863	4077	641
864	4081	636
865	4085	632
866	4090	627
867	4094	622
868	4098	617
869	4104	613
870	4108	608
871	4112	603
872	4117	598
873	4121	594
874	4125	589
875	4129	584
876	4134	579
877	4139	575
878	4142	570
879	4148	565
880	4152	560
881	4156	556
882	4161	551
883	4166	546
884	4170	541
885	4173	537
886	4177	532
887	4182	527
888	4186	522
889	4190	517
890	4194	513
891	4198	508
892	4202	503
893	4207	498
894	4211	494
895	4215	489
896	4219	484
897	4224	479
898	4228	475
899	4232	470
900	4236	465
901	4240	460
902	4244	455
903	4248	451
904	4253	446
905	4258	441
906	4262	437
907	4267	432
908	4271	427
909	4275	422
910	4280	418
911	4284	413
912	4288	408
913	4291	403
914	4296	399
915	4300	394
916	4304	389
917	4309	384
918	4313	380
919	4317	375
920	4321	370
921	4325	365
922	4329	361
923	4333	356
924	4337	351
925	4342	346
926	4345	342
927	4349	337
928	4353	332
929	4357	327
930	4360	323
931	4364	318
932	4369	313
933	4373	309
934	4377	304
935	4380	299
936	4384	294
937	4388	290
938	4391	285
939	4396	280
940	4400	275
941	4404	271
942	4408	266
943	4412	261
944	4415	257
945	4419	252
946	4423	247
947	4427	242
948	4431	238
949	4435	233
950	4439	228
951	4443	224
952	4447	219
953	4451	214
954	4455	209
955	4460	205
956	4463	200
957	4467	195
958	4471	191
959	4476	186
960	4479	181
961	4483	177
962	4487	172
963	4491	167
964	4495	163
965	4499	158
966	4502	153
967	4507	148
968	4511	144
969	4515	139
970	4520	135
971	4524	130
972	4528	125
973	4532	120
974	4537	116
975	4541	111
976	4545	106
977	4549	102
978	4553	97
979	4557	93
980	4561	88
981	4568	83
982	4571	79
983	4575	74
984	4581	69
985	4584	65
986	4588	60
987	4593	55
988	4597	51
989	4601	46
990	4606	41
991	4611	37
992	4615	32
993	4619	27
994	4624	23
995	4628	18
996	4632	13
997	4637	9
998	4644	4
999	4648	0
